,No,page,nick,time,content,area,ip,ip_loc,length,against,agree,channel,hot,level,login_type,media_type,mid
0,1,1,琴音渺渺夜未央,2018-08-09 16:27:34,满意的生活,广东深圳,14.17.22.33,"广东省深圳市 电信 * GeoIP: Shenzhen, Guangdong, China * China Telecom (Group)",5,1533803254,0,cj,0,2,0,0,5B6BFAF5-E111621-BCEEE2E1-8C5-7E7
1,2,1,琴音渺渺夜未央,2018-08-09 16:27:18,通篇四个大字：贷款买房允悲,广东深圳,14.17.22.33,"广东省深圳市 电信 * GeoIP: Shenzhen, Guangdong, China * China Telecom (Group)",13,1533803238,0,cj,0,0,0,0,5B6BFAE6-E111621-BCEEE2E1-8C5-7C9
2,3,1,sumi不当逃兵,2018-08-09 16:18:14,一套房子够我挥霍一辈子，还不用贷款，还不用欠钱，还没快乐，为何不？,广东,223.104.63.68,"广东省深圳市 移动 * GeoIP: Guangzhou, Guangdong, China * China Mobile",33,1533802694,0,cj,0,0,0,0,5B6BF8C2-DF683F44-78272DA9-8C5-7F6
3,4,1,被TB卖家打扰的买家,2018-08-09 15:46:03,所以我从来不借贷,湖北荆州,221.233.18.19,"湖北省荆州市 电信 * GeoIP: Jingzhou, Hunan, China * The Chinanet network in Jinzhou ,Hubei province",8,1533800763,0,cj,0,0,0,0,5B6BF13B-DDE91213-149A3E3C5-8C5-8CD
4,5,1,OutOfMemorry,2018-08-09 15:39:10,对不起[拜拜],湖北武汉,120.202.26.98,"湖北省武汉市 移动 * GeoIP: Wuhan, Hubei, China * China Mobile Guangdong",7,1533800350,0,cj,0,0,0,0,5B6BEF9E-78CA1A62-17C901171-8C5-89C
5,6,1,Ooooooooverrated,2018-08-09 15:38:48,一系列我都举报了。,安徽合肥,117.136.101.53,"安徽省 移动 * GeoIP: Hefei, Anhui, China * China Mobile Guangdong",22,1533800328,0,cj,0,3,0,0,5B6BEF87-75886535-93B54D73-8C5-880
6,7,1,super白字君,2018-08-09 15:34:46,我很不想背上贷款，可是我很想问我们这破沿海的五线城市的房子有啥好炒的？,山东日照,119.185.73.161,"山东省日照市 联通 * GeoIP: Rizhao, Shandong, China * China Unicom Shandong",35,1533800086,0,cj,0,0,0,0,5B6BEE92-77B949A1-AC9050ED-8C5-8D8
7,8,1,九灵miao,2018-08-09 15:32:27,惊呆啊 说的很对 怎么这么敢说大实话,北京海淀,219.238.166.229,"北京市 电信通 * GeoIP: Beijing, China * Beijing Dian-Xin-Tong Network Technologies Co.",18,1533799947,6,cj,0,0,0,0,5B6BEE0C-DBEEA6E5-72C01E27-8C5-8F8
8,9,1,不敢有梦想的90后,2018-08-09 15:24:30,买不起房子，车子，还不让我们过得自在点了？,浙江杭州,36.24.70.195,"浙江省杭州市 电信 * GeoIP: Hangzhou, Zhejiang, China * China Telecom Hangzhou",21,1533799469,7,cj,0,0,0,0,5B6BEC2D-241846C3-13FF9ECED-8C5-944
9,10,1,映是喵星来的,2018-08-09 15:17:18,看评论就放心系列，笑死，年轻人的思想越来越清透,上海,58.38.103.9,"上海市 电信 * GeoIP: Shanghai, China * China Telecom Shanghai",23,1533799038,3,cj,0,0,0,0,5B6BEA7E-3A266709-A146CEB3-8C5-8D1
10,11,1,wassupMR,2018-08-09 15:16:47,[嘻嘻][嘻嘻][嘻嘻],英国苏格兰,5.151.179.147,"英国  * GeoIP: Glasgow, Glasgow City, United Kingdom * Cablecom Networking",27,1533799007,0,cj,0,1,0,0,5B6BEA5B-597B393-ABE727AE-8C5-82F
11,12,1,AmySssSun,2018-08-09 15:13:17,哈哈 我才看到,陕西西安,1.80.217.63,"陕西省西安市 电信 * GeoIP: Xian, Shaanxi, China * China Telecom SHAANXI",7,1533798797,0,cj,0,0,0,0,5B6BE98D-150D93F-6CA5D88D-8C5-8A7
12,13,1,家住石瑾,2018-08-09 15:08:11,买房才会背上巨额债务，没几个借钱买星巴克的吧[偷笑],泰国,1.47.79.171,"泰国  * GeoIP: Bangkok, Khon Kaen, Thailand * Total Access Communication PLC",26,1533798491,0,cj,0,0,0,0,5B6BE85B-12F4FAB-6ED66190-8C5-95B
13,14,1,巴黎门前的小铁匠,2018-08-09 15:02:42,有毒的文章 。,湖北咸宁,171.114.148.57,"湖北省咸宁市 电信 * GeoIP: Wuhan, Hubei, China * China Telecom",7,1533798162,0,cj,0,0,0,0,5B6BE70E-AB729439-A0260676-8C5-885
14,15,1,驴驴驴胖咩咩_,2018-08-09 14:58:05,让你媳妇儿生个娃吧，免你死罪,吉林,111.26.33.237,"吉林省 移动 * GeoIP: Changchun, Jilin, China * China Mobile",24,1533797885,0,cj,0,1,0,0,5B6BE5FA-6F1A21ED-85D2BBA1-8C5-875
15,16,1,用户138****6863,2018-08-09 14:47:28,年轻人不是国家的未来和希望吗，,山东济南,144.123.92.134,"山东省 电信 * GeoIP: Jinan, Shandong, China * China Telecom Shandong",15,1533797248,0,cj,0,0,2,0,5B6BE380-907B5C86-593A8E24855580BD-8C5-88A
16,17,1,不会笑的柴郡猫,2018-08-09 14:34:30,开心就好啊，摸摸,日本,126.196.61.172,日本  * GeoIP: Japan * Softbank BB,23,1533796470,0,cj,0,1,0,0,5B6BE075-7EC43DAC-71F96BAA-8C5-91E
17,18,1,木木徽,2018-08-09 14:30:12,媒体还要点脸吗？怎么不看看根本原因呢？,安徽合肥,112.32.75.133,安徽省合肥市 移动 * GeoIP: China * China Mobile Guangdong,19,1533796212,1,cj,0,0,0,0,5B6BDF6F-70204B85-8F5CBBF5-8C5-8BD
18,19,1,翔鹤-瑞鹤-赤城-加贺-苍龙-飞龙,2018-08-09 14:29:04,叫你们工作是用来赚钱上缴国家的，你们竟然去买星巴克提高生活水平，是可忍孰不可忍,法国,77.136.198.8,"法国  * GeoIP: Paris, Ile-de-France, France * SFR",39,1533796144,0,cj,0,0,0,0,5B6BDF2D-4D88C608-90D5C21C-8C5-8E0
19,20,1,巴吧嘟啦,2018-08-09 14:18:41,为经济危机背锅！系统性金融风险可不能怪消费，这是政策和贸易的问题,广东佛山,202.168.163.17,"广东省佛山市 视通宽带 * GeoIP: Jiangmen, Guangdong, China * Guangdong Cable Corporation Limited",32,1533795520,3,cj,0,0,0,0,5B6BDCC0-CAA8A311-141F51565-8C5-83A
20,21,2,仰望星空的wo牛,2018-09-01 19:51:29,17个点的增值税,广东深圳,117.136.79.134,"广东省佛山市 移动 * GeoIP: Shenzhen, Guangdong, China * China Mobile",18,1535802689,1,cj,0,0,0,0,5B8A7D3B-75884F86-933A384C-8C5-8EB
21,22,2,严家可爱豆,2018-08-28 22:05:46,哈哈,江西南昌,59.63.206.200,"江西省南昌市 电信 * GeoIP: Shanghai, China * China Telecom Jiangx province IDC network",2,1535465146,0,cj,0,0,0,0,5B8556B9-3B3FCEC8-17A974F37-8C5-8FE
22,23,2,顾小慢Catherine,2018-08-28 19:23:37,爸爸妈妈买房，说啃老。自己不买房，说没上进心。不生娃，说是自私。那是因为大部分90后的我们真的不富裕，没法一下子拿出几十百万买房子。这也会被说，为什么不努力工作？[皱眉]要我们怎样？,重庆,123.147.248.51,"重庆市 联通 * GeoIP: Chongqing, China * China Unicom Chongqing",91,1535455417,5,cj,0,0,0,0,5B8530B8-7B93F833-9D1A5728-8C5-88F
23,24,2,顾小慢Catherine,2018-08-28 19:23:25,80后买不起房，90后不想买房。 连交通信息卡都发的信用卡，现在又怪我们借贷过度，没有辛苦攒钱？ 我们努力工作，熬成秃头，辛辛苦苦赚钱想用用智能机，想旅旅游，也错了？不想辛辛苦苦攒钱还房贷，也错了？,重庆,123.147.248.51,"重庆市 联通 * GeoIP: Chongqing, China * China Unicom Chongqing",99,1535455405,4,cj,0,0,0,0,5B8530A9-7B93F833-9D1A5728-8C5-88F
24,25,2,依然是个黄油君,2018-08-26 15:33:55,十年前的媒体：当60岁的中国人终于攒到够钱买了个房子时，60岁的美国人则还清了住了30年房子的贷款。中国人只知道勤劳苦干的挣钱，而美国人则享受了幸福的一生。 现在的媒体：你们这些贷款的年轻人，正带领国家走向危机。 中国年轻人：？？？,四川雅安,218.6.135.167,"四川省雅安市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",116,1535268835,6,cj,0,0,0,0,5B8257E2-DA0687A7-74BDF935-8C5-8F7
25,26,2,bitzhyu,2018-08-26 00:58:18,从11年借到18年，说的不就是我嘛[doge],江苏南京,49.77.231.17,"江苏省南京市 电信 * GeoIP: Nanjing, Jiangsu, China * China Telecom jiangsu",23,1535216298,0,cj,0,0,0,0,5B818AA4-314DE711-A15ADE34-8C5-94D
26,27,2,傲娇免,2018-08-24 12:32:33,还有可以送孩子出国留学 然后 ……你懂了么,河南郑州,1.193.67.250,"河南省郑州市 电信 * GeoIP: Zhengzhou, Henan, China * China Telecom Henan",28,1535085153,0,cj,0,1,0,0,5B7F8A5E-1C143FA-15858CF94-8C5-9B7
27,28,2,傲娇免,2018-08-24 12:30:59,不懂啥 炒房可以发家致富 而你却拿来住 简直浪费 建议你有机会也去炒房 根本不用上班 天天吃喝玩乐 旅游自拍星巴克,河南郑州,1.193.67.250,"河南省郑州市 电信 * GeoIP: Zhengzhou, Henan, China * China Telecom Henan",72,1535085059,0,cj,0,1,0,0,5B7F8A03-1C143FA-15858CF94-8C5-9B7
28,29,2,Grazy木,2018-08-23 18:01:37,哦。[摊手][摊手][摊手],广东东莞,223.104.63.230,"广东省深圳市 移动 * GeoIP: Dongguan, Guangdong, China * China Mobile",14,1535018497,0,cj,0,0,0,0,5B7E85FD-DF683FE6-1765CAAC3-8C5-958
29,30,2,熊叔看过来,2018-08-23 01:52:25,买不起房还不让我喝星巴克？[doge],北京,114.246.128.70,"北京市 联通 * GeoIP: Beijing, China * China Unicom Beijing",19,1534960345,2,cj,0,0,0,0,5B7DA2D8-72F68046-13AF0ECE0-8C5-97A
30,31,2,稽莱织lydia,2018-08-22 19:35:32,哈哈哈哈哈哈,湖南长沙,119.39.248.59,"湖南省长沙市 联通 * GeoIP: Changsha, Hunan, China * China Unicom HuNan",19,1534937732,0,cj,0,1,0,0,5B7D4A82-7727F83B-629AF904-8C5-9A3
31,32,2,张儁乂,2018-08-22 13:39:05,家庭资产負债表的权益资本/总资产,广东广州,218.19.222.158,"广东省广州市 电信 * GeoIP: Guangzhou, Guangdong, China * China Telecom Guangdong",25,1534916344,0,cj,0,2,0,0,5B7CF6F8-DA13DE9E-63CE7B0C-8C5-8C9
32,33,2,杰仕_愚杰,2018-08-22 12:46:45,点计？,广东,223.104.63.89,"广东省深圳市 移动 * GeoIP: Guangzhou, Guangdong, China * China Mobile",10,1534913204,0,cj,0,1,0,0,5B7CEAB0-DF683F59-62A8DC24-8C5-9A5
33,34,2,_S_酒红,2018-08-20 22:34:49,人在家中坐，锅从天上来,浙江,112.17.239.4,"浙江省 移动 * GeoIP: Ningbo, Zhejiang, China * China Mobile",11,1534775689,0,cj,0,0,0,0,5B7AD187-7011EF04-14A2E4DC8-8C5-955
34,35,2,选择一条路然后一直走下去,2018-08-16 08:43:34,80900010就没有不垮掉的一代[跪了],青海西宁,111.44.141.9,"青海省 移动 * GeoIP: Xining, Qinghai, China * China Mobile Guangdong",31,1534380214,0,cj,0,2,0,0,5B74C8B3-6F2C8D09-12EEE6933-8C5-8CB
35,36,2,肥宅之王orz,2018-08-15 21:12:29,赞同哥们你说的，本来事实就是这样，非要在一线干活才叫吃得了苦？熬夜写代码的画图的做方案的读书学习的年轻人不在少数，他们不累不苦嘛。,陕西西安,113.200.204.73,"陕西省 联通 * GeoIP: Xian, Shaanxi, China * China Unicom Shannxi",74,1534338749,0,cj,0,11,0,0,5B7426BC-71C8CC49-14D2E179D-8C5-8E3
36,37,2,说个晚安吗,2018-08-15 17:42:03,[good][good][good],新疆,43.242.152.108,"新疆自治区 联通 * GeoIP: Shihezi, Xinjiang, China * China Unicom Xinjiang",36,1534326123,0,cj,0,1,0,0,5B73F569-2BF2986C-15B085F4C-8C5-868
37,38,2,绾起梨花月99,2018-08-14 21:29:01,我喝不起星巴克也买不起房[跪了][摊手][摊手][摊手][摊手],广西贵港,117.181.90.157,"广西自治区贵港市 移动 * GeoIP: Bailan, Guangxi, China * China Mobile Guangdong",32,1534253341,0,cj,0,0,0,0,5B72D918-75B55A9D-DBC80468-8C5-823
38,39,2,莱薇酱,2018-08-14 21:16:23,国家不是在愁人民消费不够么？？？？？？只允许买房买车和吃饭，不允许我们买手机？,北京,106.120.232.253,"北京市 电信 * GeoIP: Beijing, China * China Telecom Beijing",39,1534252583,0,cj,0,0,0,0,5B72D625-6A78E8FD-3BB9A3F2-8C5-8D4
39,40,2,点爱22306,2018-08-14 16:28:52,挣得多当然不用借，可现实呢,江西南昌,118.212.208.29,"江西省南昌市 联通 * GeoIP: Nanchang, Jiangxi, China * China Unicom Jiangxi",13,1534235332,0,cj,0,0,0,0,5B7292C4-76D4D01D-140CC9A62-8C5-860
40,41,3,is_话梅糖,2018-08-14 10:58:19,债务都是次月就还清了，能让年轻人背上巨债的唯有买房了吧，所以买房是不可能了，最大的心愿是和爱的人走遍世间美好的地方,内蒙古呼和浩特,220.195.66.87,"内蒙古自治区通辽市 联通 * GeoIP: Hohhot, Nei Mongol, China * China Unicom Liaoning",57,1534215499,0,cj,0,0,0,0,5B724547-DCC34257-DEC3AE86-8C5-803
41,42,3,斌斌有李有斌斌,2018-08-14 10:36:52,对呀  那就别生了,北京,223.104.3.203,"北京市 移动 * GeoIP: Beijing, China * China Mobile",9,1534214212,0,cj,0,0,0,0,5B724042-DF6803CB-8179BA95-8C5-850
42,43,3,吾耳音,2018-08-14 10:11:21,已举报,江苏徐州,122.194.162.147,"江苏省徐州市 联通 * GeoIP: Xuzhou, Jiangsu, China * China Unicom Jiangsu",3,1534212681,1,cj,0,0,0,0,5B723A46-7AC2A293-7590CA9D-8C5-85C
43,44,3,曲苑杂坛1,2018-08-14 08:13:58,买房才是好吗，根本无力偿还[doge],河北沧州,221.195.44.187,"河北省沧州市 联通 * GeoIP: Cangzhou, Hebei, China * China Unicom Liaoning",19,1534205638,0,cj,0,0,0,0,5B721EC2-DDC32CBB-13318C2D6-8C5-865
44,45,3,人-生-如-剧,2018-08-14 08:12:21,大家不要一提起借贷就想到买房，更严重的问题是，现在很多人借贷买奢侈品，借贷过比自己工资高几个档次的生活，我身边就很多，他们通常会觉得钱不够花是因为物价太高，但是物价再低的地方LV 也不会太便宜的，多落后的地方也会有高档餐厅的。,河南濮阳,123.101.124.113,"河南省濮阳市 电信 * GeoIP: Taipei, Fujian, China * China Telecom Henan",113,1534205541,0,cj,0,0,0,0,5B721E62-7B657C71-A4445FCA-8C5-867
45,46,3,为你而明,2018-08-14 07:30:05,"不能以偏概全哪。毕竟是少数，大多数都在积极向上！中国的""有钱人""多，那也是父母造就的，省吃俭用供孩子，做牛做马！我还是觉得年轻人应该早点独立，！",安徽亳州,36.4.239.179,"安徽省亳州市 电信 * GeoIP: Bozhou, Anhui, China * China Telecom Anhui",72,1534203005,1,cj,0,0,0,0,5B72147D-2404EFB3-673D236D-8C5-8B8
