,Unnamed: 0,Unnamed: 0.1,No,page,nick,time,content,area,ip,ip_loc,length,against,agree,channel,hot,level,login_type,media_type,mid,stamp,time_ymd,time_mdh,cmntcount,coor_loc,lng,lat
0,0,20,21,2,我阿訇打钱,2018-08-11 17:15:13,[费解][费解][费解],青海海南藏族自治州,36.100.157.102,"青海省海南州 电信 * GeoIP: Hangzhou, Zhejiang, China * China Telecom",31,1533978913,0,cj,0,5,0,0,5B6EA91F-24649D66-17A3D8EEA-8C5-8D1,1533978913,2018-08-11,08-11 17,3773,"{'lng': 100.6240660940972, 'lat': 36.284363803805}",100.6240660940972,36.284363803805
1,1,21,22,2,TKK_Questioning,2018-08-11 17:04:20,那你以为不单身就能避免？,安徽合肥,36.7.153.141,"安徽省合肥市 电信 * GeoIP: Hefei, Anhui, China * China Telecom Anhui",21,1533978260,0,cj,0,4,0,0,5B6EA690-2407998D-1343F7922-8C5-877,1533978260,2018-08-11,08-11 17,3772,"{'lng': 117.28269909168304, 'lat': 31.86694226068694}",117.28269909168304,31.86694226068694
2,2,22,23,2,碌碌无为的困难群众,2018-08-11 16:29:58,谢谢,山西太原,113.27.238.138,"山西省太原市 电信 * GeoIP: Xian, Shaanxi, China * China Telecom shangxi",21,1533976198,0,cj,0,0,0,0,5B6E9E84-711BEE8A-1796C1F18-8C5-90D,1533976198,2018-08-11,08-11 16,3771,"{'lng': 112.5508635890553, 'lat': 37.89027705396754}",112.5508635890553,37.89027705396754
3,3,23,24,2,竖纹AdaIX,2018-08-11 14:25:19,想去声援你 结果发不出🌚,广东广州,183.234.62.211,"广东省广州市 移动 * GeoIP: Guangzhou, Guangdong, China * China Mobile",13,1533968719,0,cj,0,0,0,0,5B6E814B-B7EA3ED3-72E25C17-8C5-953,1533968719,2018-08-11,08-11 14,3770,"{'lng': 113.30764967515182, 'lat': 23.12004910207623}",113.30764967515182,23.12004910207623
4,4,24,25,2,猫切,2018-08-11 13:02:03,锅太大，接不住,广东深圳,14.17.22.33,"广东省深圳市 电信 * GeoIP: Shenzhen, Guangdong, China * China Telecom (Group)",7,1533963723,0,cj,0,0,0,0,5B6E6DCB-E111621-3E5F4FAE-8C5-8EE,1533963723,2018-08-11,08-11 13,3769,"{'lng': 114.0259736573215, 'lat': 22.546053546205247}",114.0259736573215,22.546053546205247
5,5,25,26,2,静静坨silence,2018-08-11 09:17:48,[允悲][允悲]…,湖南,117.136.89.122,"湖南省 移动 * GeoIP: Changsha, Hunan, China * China Mobile",9,1533950268,0,cj,0,0,0,0,5B6E393A-7588597A-994EDC9C-8C5-921,1533950268,2018-08-11,08-11 09,3768,"{'lng': 111.720663546476, 'lat': 27.695864052356377}",111.720663546476,27.695864052356377
6,6,26,27,2,空空卡卡,2018-08-11 08:30:12,居然这么说我们年轻人[嘿哈],四川成都,101.206.166.34,"四川省成都市 联通 * GeoIP: Chengdu, Sichuan, China * UNICOM Sichuan",14,1533947412,0,cj,0,0,0,0,5B6E2E12-65CEA622-57018627-8C5-846,1533947412,2018-08-11,08-11 08,3767,"{'lng': 102.89915972360397, 'lat': 30.36748093795755}",102.89915972360397,30.36748093795755
7,7,27,28,2,Kun-Gong,2018-08-10 23:04:35,老了,浙江,112.17.237.198,"浙江省 移动 * GeoIP: Hangzhou, Zhejiang, China * China Mobile",2,1533913475,0,cj,0,0,0,0,5B6DA983-7011EDC6-637C89FA-8C5-815,1533913475,2018-08-10,08-10 23,3766,"{'lng': 119.95720242066378, 'lat': 29.159494120760925}",119.95720242066378,29.159494120760925
8,8,28,29,2,慕玖鲸Helena,2018-08-10 21:50:07,我觉得这条博就是一个笑话……,广西南宁,116.8.58.204,"广西自治区河池市 电信 * GeoIP: Nanning, Guangxi, China * China Telecom Guangxi",26,1533909007,0,cj,0,1,0,0,5B6D980A-74083ACC-E294C386-8C5-8D3,1533909007,2018-08-10,08-10 21,3765,"{'lng': 108.29723355586638, 'lat': 22.80649293560261}",108.29723355586638,22.80649293560261
9,9,29,30,2,天高路远,2018-08-10 21:25:09,到底该不该透支消费？专家统一一下意见，在线等，急。,浙江杭州,112.10.50.208,"浙江省杭州市 移动 * GeoIP: Hangzhou, Zhejiang, China * China Mobile",25,1533907509,0,cj,0,0,0,0,5B6D9234-700A32D0-63E5B9FC-8C5-863,1533907509,2018-08-10,08-10 21,3764,"{'lng': 120.2193754157201, 'lat': 30.259244461536102}",120.2193754157201,30.259244461536102
10,10,30,31,2,右边耳垂上有颗痣,2018-08-10 19:58:11,拜托，我买再多手机穿再多名牌喝再多星巴克都没一个房贷债务高吧。推责任推这么心安理得恶不恶心啊。,山西长治,60.220.61.84,"山西省长治市 联通 * GeoIP: Changzhi, Shanxi, China * China Unicom Shanxi",47,1533902291,0,cj,0,0,0,0,5B6D7DD3-3CDC3D54-12D665286-8C5-8AA,1533902291,2018-08-10,08-10 19,3763,"{'lng': 113.12029208572514, 'lat': 36.20166438574343}",113.12029208572514,36.20166438574343
11,11,31,32,2,dddyqqq_,2018-08-10 19:57:24,你们反省一下，不要做历史的罪人[笑而不语],上海,180.160.176.173,"上海市 电信 * GeoIP: Shanghai, China * China Telecom Shanghai",38,1533902244,0,cj,0,3,0,0,5B6D7DA2-B4A0B0AD-41AB47DC-8C5-825,1533902244,2018-08-10,08-10 19,3762,"{'lng': 121.48789948569473, 'lat': 31.24916171001514}",121.48789948569473,31.24916171001514
12,12,32,33,2,迷野路,2018-08-10 18:47:11,茶水费还是买房嘛(ಡωಡ),湖北武汉,58.49.196.143,"湖北省武汉市 电信 * GeoIP: Wuhan, Hubei, China * China Telecom Hubei",26,1533898031,0,cj,0,1,0,0,5B6D6D30-3A31C48F-99E8222F-8C5-979,1533898031,2018-08-10,08-10 18,3761,"{'lng': 114.31620010268132, 'lat': 30.58108412692075}",114.31620010268132,30.58108412692075
13,13,33,34,2,liang个人的天荒地老,2018-08-10 18:47:06,放你🐴屁,江苏徐州,114.234.162.185,"江苏省徐州市 电信 * GeoIP: Xuzhou, Jiangsu, China * China Telecom jiangsu",5,1533898026,0,cj,0,0,0,0,5B6D6D25-72EAA2B9-13B120CC0-8C5-80E,1533898026,2018-08-10,08-10 18,3760,"{'lng': 117.18810662317686, 'lat': 34.27155343109188}",117.18810662317686,34.27155343109188
14,14,34,35,2,Soy_Kayakachi,2018-08-10 17:47:02,Reply @dddyqqq_:我就借借花呗和白条，他是透支信用卡[doge],上海,223.104.212.221,"中国 移动 * GeoIP: Shanghai, China * Shanghai Mobile Communications Co.,Ltd.",39,1533894422,0,cj,0,2,0,0,5B6D5F16-DF68D4DD-181DEF0A4-8C5-7F4,1533894422,2018-08-10,08-10 17,3759,"{'lng': 121.48789948569473, 'lat': 31.24916171001514}",121.48789948569473,31.24916171001514
15,15,35,36,2,回龙观观主王二狗,2018-08-10 16:40:26,没那么多的，老铁，办个会员卡还买一送一呢,江苏泰州,112.20.12.194,"江苏省泰州市 移动 * GeoIP: Beijing, China * China Mobile",36,1533890426,5,cj,0,1,0,0,5B6D4F78-70140CC2-145817E37-8C5-82E,1533890426,2018-08-10,08-10 16,3758,"{'lng': 119.91960601619071, 'lat': 32.47605327483028}",119.91960601619071,32.47605327483028
16,16,36,37,2,-金牛男的冬天-,2018-08-10 16:29:59,你是90后吧？,上海,118.242.19.178,"上海市 翰威科技 * GeoIP: Shanghai, China * China Telecom Shanghai",7,1533889799,0,cj,0,0,0,0,5B6D4D07-76F213B2-89D0B61E-8C5-9DD,1533889799,2018-08-10,08-10 16,3757,"{'lng': 121.48789948569473, 'lat': 31.24916171001514}",121.48789948569473,31.24916171001514
17,17,37,38,2,砸砸阿,2018-08-10 15:45:19,[doge]你这样很危险啊,江苏南京,222.94.250.230,"江苏省南京市 电信 * GeoIP: Nanjing, Jiangsu, China * China Telecom jiangsu",22,1533887119,1,cj,0,1,0,0,5B6D428F-DE5EFAE6-16BA603D7-8C5-860,1533887119,2018-08-10,08-10 15,3756,"{'lng': 118.77807440802562, 'lat': 32.05723550180587}",118.77807440802562,32.05723550180587
18,18,38,39,2,踏雪啸长歌,2018-08-10 15:44:53,买不起房结不起婚生不起孩子[泪]还有一个郭姓胖子天天想从我兜里面骗钱,江西南昌,223.104.10.46,"江西省 移动 * GeoIP: Nanchang, Jiangxi, China * China Mobile Guangdong",34,1533887093,2,cj,0,0,0,0,5B6D4274-DF680A2E-14F0F8038-8C5-8CF,1533887093,2018-08-10,08-10 15,3755,"{'lng': 115.89352754583604, 'lat': 28.689578000141147}",115.89352754583604,28.689578000141147
19,19,39,40,2,砸砸阿,2018-08-10 15:44:28,[doge]可能是70后写出来的,江苏南京,222.94.250.230,"江苏省南京市 电信 * GeoIP: Nanjing, Jiangsu, China * China Telecom jiangsu",25,1533887068,1,cj,0,1,0,0,5B6D4258-DE5EFAE6-16BA603D7-8C5-860,1533887068,2018-08-10,08-10 15,3754,"{'lng': 118.77807440802562, 'lat': 32.05723550180587}",118.77807440802562,32.05723550180587
