标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
半岛国际 2室1厅 6500元,2室1厅,89,6500,73.034
欣盛东方郡东区 2室1厅 6500元,2室1厅,89,6500,73.034
玲珑府 3室1厅 5500元,3室1厅,50,5500,110.0
钱塘春晓大厦 1室1厅 5500元,1室1厅,50,5500,110.0
钱龙名汇公馆 1室1厅 4200元,1室1厅,51.04,4200,82.288
江南星座 1室1厅 5500元,1室1厅,87.07,5500,63.168
铂悦轩 1室1厅 7000元,1室1厅,84,7000,83.333
金铂湾 1室1厅 6500元,1室1厅,57,6500,114.035
滨江区政府沿江板块，开元品质物业，江景视野好,1室1厅,55,4600,83.636
欣盛东方郡东区 2室2厅 6200元,2室2厅,89,6200,69.663
玲珑府 3室1厅 5500元,3室1厅,48.09,5500,114.369
绿地旭辉城 3室1厅 13800元,3室1厅,138,13800,100.0
绿地旭辉城 1室1厅 5000元,1室1厅,59.93,5000,83.431
绿地旭辉城 4室1厅 7600元,4室1厅,89,7600,85.393
云厦连园 3室2厅 8000元,3室2厅,139,8000,57.554
湘云雅苑 3室1厅 6200元,3室1厅,90,6200,68.889
湘云雅苑 2室1厅 5000元,2室1厅,65,5000,76.923
湘云雅苑 2室1厅 5200元,2室1厅,65,5200,80.0
湘云雅苑 2室1厅 4600元,2室1厅,60,4600,76.667
一线江景房 视野开阔 精装修大三房 近奥体三桥钱塘江,3室2厅,140,13000,92.857
温兴风情苑 2室1厅 5800元,2室1厅,93,5800,62.366
水印城 1室1厅 5000元,1室1厅,45,5000,111.111
星光国际公馆 1室1厅 4500元,1室1厅,54.39,4500,82.736
绿地旭辉城 3室1厅 11000元,3室1厅,138,11000,79.71
钱塘春晓 3室2厅 8500元,3室2厅,120,8500,70.833
地铁房，距离地铁500米，出行便利，配套齐全,4室1厅,89,5800,65.169
金铂湾 1室1厅 6500元,1室1厅,67,6500,97.015
锦绣江南 4室2厅 9500元,4室2厅,173.19,9500,54.853
中兴花园百合苑 3室1厅 7000元,3室1厅,85,7000,82.353
欣盛东方郡西区 2室1厅 5800元,2室1厅,87,5800,66.667
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
缤纷小区4居室 03卧,4室1厅,8.03,1730,215.442
中南白马湖壹号 3室2厅 6000元,3室2厅,100,6000,60.0
瑞立中央花城 3室1厅 12500元,3室1厅,139,12500,89.928
白马湖小区白鹤苑5居室 03卧,5室1厅,8.5,1690,198.824
滨文苑 3室2厅 5800元,3室2厅,120,5800,48.333
风尚蓝湾 1室1厅 4100元,1室1厅,59.34,4100,69.093
中南白马湖壹号 3室1厅 5500元,3室1厅,89,5500,61.798
半岛国际 2室1厅 6300元,2室1厅,76,6300,82.895
云厦连园 3室2厅 6600元,3室2厅,89,6600,74.157
绿地旭辉城 3房2卫 边套双阳台  精装修,3室2厅,87.26,8200,93.972
春波西苑4居室 02卧,4室1厅,11.77,2190,186.066
江南星座 1室1厅 5500元,1室1厅,86,5500,63.953
风雅钱塘 2室1厅 7000元,2室1厅,102,7000,68.627
滨兴东苑 3室2厅 11000元,3室2厅,125,11000,88.0
春波西苑 2室1厅 5000元,2室1厅,60,5000,83.333
绿城明月江南 2室2厅 10000元,2室2厅,89,10000,112.36
世茂之西湖 1室1厅 4800元,1室1厅,47,4800,102.128
龙湖春江郦城 3室2厅 12500元,3室2厅,137.01,12500,91.234
江滨澜廷 1室1厅 6500元,1室1厅,58,6500,112.069
绿城明月江南 3室2厅 16000元,3室2厅,136,16000,117.647
江南铭庭 2室2厅 5500元,2室2厅,88.67,5500,62.028
钱江水晶城 2室2厅 11000元,2室2厅,89,11000,123.596
君尚金座 3室2厅 16000元,3室2厅,105,16000,152.381
房东说在这里待过的公司都越干越大了，无遮挡江景房,1室1厅,58.43,4700,80.438
星光国际公馆 2室2厅 5500元,2室2厅,73.13,5500,75.209
绿地旭辉城 3室2厅 9000元,3室2厅,89,9000,101.124
天鸿君邑 3室2厅 7700元,3室2厅,136,7700,56.618
玲珑府 3室1厅 5500元,3室1厅,50,5500,110.0
温兴风情苑 3室2厅 6500元,3室2厅,105,6500,61.905
钱龙名汇公馆 1室1厅 4200元,1室1厅,51.04,4200,82.288
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
绿地旭辉城 3室2厅 7200元,3室2厅,87.93,7200,81.883
江边公寓，精装修，最美不是江景，而是看江的你,1室1厅,47.78,5500,115.111
积家 1室1厅 4800元,1室1厅,43,4800,111.628
兴耀鑫都汇 1室1厅 60000元,1室1厅,497,60000,120.724
积家loft一室一厅一厨二卫带飘窗层高4.79可拎包入住,1室1厅,40.07,4000,99.825
宝龙城　现代印象广场　精装一室一厅　拎包入住,1室1厅,74.88,4000,53.419
彩虹城 2室1厅 6300元,2室1厅,98.42,6300,64.011
寰宇天下 2室2厅 10000元,2室2厅,89,10000,112.36
中南白马湖壹号 4室1厅 6500元,4室1厅,89,6500,73.034
白马湖小区凤凰苑 3室1厅 5800元,3室1厅,86,5800,67.442
一桥下 茂御居loft三房 精装修 家具家电都会配齐,3室1厅,120.2,12000,99.834
湘云雅苑 2室1厅 5000元,2室1厅,62.56,5000,79.923
临江花园 2室2厅 6000元,2室2厅,107,6000,56.075
湘云雅苑 2室1厅 4300元,2室1厅,65,4300,66.154
茂御居纯江景房   楼层高 采光好  全新装修 无忧入住,1室1厅,47.4,4500,94.937
贺田尚城 3室2厅 8000元,3室2厅,140,8000,57.143
白马湖小区白鹤苑5居室 01卧,5室1厅,15.8,2790,176.582
白马湖小区白鹤苑5居室 02卧,5室1厅,11.4,2090,183.333
龙湖春江彼岸5居室 05卧,5室1厅,4.2,1830,435.714
天鸿君邑 2室1厅 5200元,2室1厅,70,5200,74.286
时代长岛之春 3室1厅 6000元,3室1厅,80,6000,75.0
星光国际公馆 2室1厅 6000元,2室1厅,73,6000,82.192
云厦连园 3室2厅 6500元,3室2厅,89,6500,73.034
长江西苑 3室1厅 6900元,3室1厅,89,6900,77.528
贺田尚城 4室2厅 30000元,4室2厅,167,30000,179.641
租区政府精装清爽温馨loft2房还您一个温馨的家,2室2厅,45.68,7300,159.807
银泰海威国际 3室2厅 11000元,3室2厅,159.43,11000,68.996
白马湖小区白鹤苑5居室 03卧,5室1厅,8.5,1730,203.529
整租 排屋别墅 拎包入住 15000.,4室2厅,138,15000,108.696
白马湖小区白鹤苑5居室 02卧,5室1厅,11.7,2190,187.179
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
星光国际公馆 1室1厅 4500元,1室1厅,53,4500,84.906
欣盛东方郡东区 2室1厅 6500元,2室1厅,89,6500,73.034
风尚蓝湾 1室1厅 4100元,1室1厅,59.34,4100,69.093
中南白马湖壹号 3室1厅 5500元,3室1厅,89,5500,61.798
半岛国际 2室1厅 6300元,2室1厅,76,6300,82.895
白马湖小区白鹤苑5居室 03卧,5室1厅,11,1790,162.727
白马湖小区白鹤苑5居室 05卧,5室1厅,8.7,1590,182.759
中南白马湖壹号 3室2厅 6000元,3室2厅,89,6000,67.416
水印城 2室1厅 6400元,2室1厅,62.19,6400,102.91
绿地旭辉城 3室2厅 12000元,3室2厅,137,12000,87.591
江滨澜廷 1室1厅 7000元,1室1厅,54,7000,129.63
宝龙边，地铁口，原户型一室一厅，精装低价出租,1室1厅,80,4500,56.25
铂悦轩 5室2厅 9000元,5室2厅,152,9000,59.211
春波西苑4居室 05卧,4室1厅,17.5,2490,142.286
绿地旭辉城 3室2厅 9000元,3室2厅,89,9000,101.124
缤纷小区4居室 05卧,4室1厅,23.4,2330,99.573
欧式大价钱装修，房东自住出租，生活品质高。,3室2厅,132,9000,68.182
世茂之西湖 1室1厅 4500元,1室1厅,46.07,4500,97.677
融创杭州印 1室1厅 5500元,1室1厅,48,5500,114.583
云厦连园 3室2厅 6600元,3室2厅,89,6600,74.157
绿地旭辉城 3房2卫 边套双阳台  精装修,3室2厅,87.26,8200,93.972
春波西苑4居室 02卧,4室1厅,11.77,2190,186.066
白马湖小区白鹤苑5居室 03卧,5室1厅,8.5,1690,198.824
滨文苑 3室2厅 5800元,3室2厅,120,5800,48.333
金铂湾 1室0厅 5500元,1室0厅,51,5500,107.843
官河公寓 3室2厅 5500元,3室2厅,107,5500,51.402
缤纷小区4居室 02卧,4室1厅,8.87,1830,206.313
缤纷小区4居室 03卧,4室1厅,8.03,1730,215.442
中南白马湖壹号 3室2厅 6000元,3室2厅,100,6000,60.0
瑞立中央花城 3室1厅 12500元,3室1厅,139,12500,89.928
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
半岛国际 2室1厅 6500元,2室1厅,89,6500,73.034
欣盛东方郡东区 2室1厅 6500元,2室1厅,89,6500,73.034
玲珑府 3室1厅 5500元,3室1厅,50,5500,110.0
绿地旭辉城 3室1厅 13800元,3室1厅,138,13800,100.0
云厦连园 3室2厅 8000元,3室2厅,139,8000,57.554
湘云雅苑 2室1厅 5000元,2室1厅,65,5000,76.923
湘云雅苑 2室1厅 5200元,2室1厅,65,5200,80.0
锦绣江南 4室2厅 9500元,4室2厅,173.19,9500,54.853
地铁房，距离地铁500米，出行便利，配套齐全,4室1厅,89,5800,65.169
星光国际公馆 1室1厅 4500元,1室1厅,54.39,4500,82.736
金铂湾 1室1厅 6500元,1室1厅,67,6500,97.015
滨江区政府沿江板块，开元品质物业，江景视野好,1室1厅,55,4600,83.636
湘云雅苑 3室1厅 6200元,3室1厅,90,6200,68.889
一线江景房 视野开阔 精装修大三房 近奥体三桥钱塘江,3室2厅,140,13000,92.857
温兴风情苑 2室1厅 5800元,2室1厅,93,5800,62.366
钱塘春晓 3室2厅 8500元,3室2厅,120,8500,70.833
中兴花园百合苑 3室1厅 7000元,3室1厅,85,7000,82.353
汉峰loft公寓整租。工作时间可看房,2室1厅,98.86,9500,96.095
风尚蓝湾 1室1厅 3500元,1室1厅,44,3500,79.545
中南公寓 2室1厅 5200元,2室1厅,89,5200,58.427
水印城LOFT中装三房。仅此一套,2室1厅,62.19,6300,101.302
湘云雅苑 4室1厅 7500元,4室1厅,100,7500,75.0
锦绣江南 4室2厅 12000元,4室2厅,191,12000,62.827
绿地旭辉城  边套双阳台 开发商统一精装修 宜家家具,3室1厅,89.01,6500,73.026
中南白马湖壹号 三房精装修 采光好 户型好 南北通透,3室2厅,89,6000,67.416
房子开发商精装，奥体板块，家具家电全配！看房方便,1室1厅,60,6000,100.0
铂金时代公寓 4室1厅 8800元,4室1厅,137,8800,64.234
国信嘉园 5室2厅 13500元,5室2厅,199,13500,67.839
南北通 开发商精装 空调带地暖,2室2厅,88.26,9500,107.637
钱塘春晓大厦 1室1厅 5500元,1室1厅,57.18,5500,96.187
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
绿地旭辉城 1室1厅 6000元,1室1厅,59.93,6000,100.117
星耀城 3室1厅 7500元,3室1厅,65.01,7500,115.367
金铂湾 1室2厅 6500元,1室2厅,52,6500,125.0
铂悦轩 2室1厅 5800元,2室1厅,74.62,5800,77.727
江滨澜廷 1室1厅 6500元,1室1厅,58.47,6500,111.168
兴耀鑫都汇 3室1厅 7800元,3室1厅,41.16,7800,189.504
绿地旭辉城 3室2厅 12000元,3室2厅,126.73,12000,94.689
春波小区 3室2厅 6200元,3室2厅,100,6200,62.0
小区景色优美，与温暖的家，只差一个你,2室2厅,89.38,8500,95.1
绿地旭辉城 1室1厅 6000元,1室1厅,59.93,6000,100.117
凯瑞金座 2室1厅 9000元,2室1厅,105,9000,85.714
杭二中观邸国际 自住精装大四房 配套齐全 拎包入住,4室2厅,158,9500,60.127
绿地旭辉城 1室1厅 5500元,1室1厅,59.93,5500,91.774
钱塘帝景 2室1厅 6500元,2室1厅,89,6500,73.034
奥体旁，精装修，视野开阔，办公专用，朝南采光好！,1室1厅,71.21,5500,77.236
绿地旭辉城 3室1厅 7500元,3室1厅,89,7500,84.27
世茂之西湖 1室1厅 4800元,1室1厅,47,4800,102.128
白马湖小区孔雀苑 3室1厅 6000元,3室1厅,90,6000,66.667
绿地旭辉城 1室1厅 6000元,1室1厅,59.93,6000,100.117
3房2卫  精装修loft公寓带阳台  看房方便,3室2厅,65,7000,107.692
温馨人家 3室2厅 8500元,3室2厅,123,8500,69.106
绿地旭辉城 2室1厅 5500元,2室1厅,59.93,5500,91.774
绿地  稀  缺  平层户型朝奥体，景观好,1室1厅,59.94,5000,83.417
积家 1室2厅 4600元,1室2厅,40.07,4600,114.799
世茂之西湖 1室1厅 5500元,1室1厅,49,5500,112.245
东和时代酒店式公寓，一线江景，交通便利,1室1厅,54.12,5500,101.626
江滨澜廷 1室2厅 6500元,1室2厅,48,6500,135.417
绿地旭辉城 1室1厅 6000元,1室1厅,59.93,6000,100.117
云厦连园 3室1厅 5200元,3室1厅,88,5200,59.091
绿地旭辉城 1室1厅 6000元,1室1厅,59.93,6000,100.117
