标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
阳光郡 3室2厅 5000元,3室2厅,89,5000,56.18
杭钢尚堂府 2室2厅 4000元,2室2厅,89.8,4000,44.543
德信北海公园 3室1厅 5100元,3室1厅,89,5100,57.303
德信北海公园 3室2厅 4900元,3室2厅,89,4900,55.056
中国铁建国际汇 3室1厅 4000元,3室1厅,89,4000,44.944
大2房 100                                 多方,2室2厅,106,4300,40.566
美都广场 1室0厅 2900元,1室0厅,39,2900,74.359
锦绣简单三房出租，诚心出租，随时看房，拎包入住,3室2厅,142.67,5500,38.551
位置很安静，标准大开间两房，只要客户人好价格会美丽,2室2厅,92.83,5500,59.248
万家花城员工宿舍好房出租 和房东一对一签合同 棒,3室1厅,89,5500,61.798
普金家园 交通便利 小区环境干净舒适 适合居住,2室1厅,61.36,4200,68.449
勤丰小区 3室2厅 4000元,3室2厅,55.46,4000,72.124
锦绣简单三房出租，诚心出租，随时看房，拎包入住,3室2厅,142.67,5500,38.551
勤丰小区 2室1厅 3800元,2室1厅,53,3800,71.698
西铭苑 3室2厅 6000元,3室2厅,101,6000,59.406
大塘新村 2室1厅 4400元,2室1厅,63.5,4400,69.291
红杉雅园 2室1厅 3500元,2室1厅,43,3500,81.395
拱苑小区 3室1厅 6300元,3室1厅,112,6300,56.25
地铁口好房，地铁口好房，看房方便,3室1厅,100,4000,40.0
大关西七苑 2室1厅 3800元,2室1厅,60,3800,63.333
祥符佳苑 2室1厅 3200元,2室1厅,63.06,3200,50.745
正兴堂弄 3室1厅 4200元,3室1厅,82,4200,51.22
东方福邸 2室2厅 6500元,2室2厅,73.52,6500,88.411
德信银树湾 2室2厅 6000元,2室2厅,88.96,6000,67.446
方正荷塘月色 2室2厅 3300元,2室2厅,50,3300,66.0
富越香郡盈座 1室1厅 2900元,1室1厅,38.39,2900,75.541
绿城运河宸园 3室2厅 10600元,3室2厅,90,10600,117.778
近绿地乐缇港，通透强，采光好。可同事合租,3室2厅,123.38,6500,52.683
