标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
长睦家苑 3室2厅 4000元,3室2厅,120,4000,33.333
景芳新五区大两房，朝南户型，采光好，家具家电齐全。,2室2厅,92.27,4500,48.77
红街天城公寓 2室2厅 7000元,2室2厅,83.5,7000,83.832
泊林印象 5室2厅 6800元,5室2厅,137,6800,49.635
金基晓庐 2室1厅 10000元,2室1厅,95,10000,105.263
龙湖名景台一期 2室2厅 3800元,2室2厅,83,3800,45.783
远洋心里 3室2厅 5800元,3室2厅,89,5800,65.169
建塘家苑 3室2厅 4200元,3室2厅,102,4200,41.176
金地格林格林 3室2厅 4000元,3室2厅,89,4000,44.944
杭州来福士中心 1室1厅 68000元,1室1厅,368.32,68000,184.622
中企艮山府 3室2厅 6200元,3室2厅,87.82,6200,70.599
城发云锦城 3室2厅 2800元,3室2厅,120,2800,23.333
运新花苑二区 2室2厅 5500元,2室2厅,124,5500,44.355
大三室，中等装修，交通便利，先到先得,3室2厅,88.07,5000,56.773
东亚新干线 2室1厅 4100元,2室1厅,43,4100,95.349
大世界五金城 3室2厅 4000元,3室2厅,121,4000,33.058
全明户型 南北通透 高楼层 采光视野好,1室1厅,65,4600,70.769
两房一厅，精装修，家具家电齐全，可拎包入住,2室2厅,104,5500,52.885
京惠花园 3室1厅 5000元,3室1厅,70.43,5000,70.992
同协雅苑 3室1厅 4000元,3室1厅,100,4000,40.0
万象城悦玺 2室2厅 16000元,2室2厅,104,16000,153.846
东方君悦 1室1厅 9000元,1室1厅,65,9000,138.462
三里亭 三里家园三区 清爽两房 电梯房 中间楼层。,2室1厅,86,4200,48.837
赵家花苑 2室1厅 3000元,2室1厅,60,3000,50.0
红街公寓 2室1厅 5000元,2室1厅,85,5000,58.824
好房推荐，精装三居带地暖，空调，可配家具,3室2厅,138.09,15000,108.625
红街天城公寓 1室1厅 3500元,1室1厅,36.4,3500,96.154
杭州高德置地广场 3室2厅 25000元,3室2厅,220,25000,113.636
东方君悦 1室1厅 9000元,1室1厅,72,9000,125.0
干净小区，，高楼层采光好视野开阔,1室0厅,40.36,3500,86.72
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
滨江德信东方星城4居室 01卧,4室1厅,13.7,2260,164.964
万科魅力之城 3室2厅 5200元,3室2厅,114,5200,45.614
万象城悦玺 3室2厅 16000元,3室2厅,115,16000,139.13
北城枫景园 2室1厅 2800元,2室1厅,63,2800,44.444
丁桥大唐苑 2室2厅 2200元,2室2厅,60,2200,36.667
滨江德信东方星城5居室 03卧,5室1厅,7.3,1460,200.0
宋都阳光国际 2室2厅 5000元,2室2厅,84.69,5000,59.039
滨江德信东方星城4居室 01卧,4室1厅,13.7,2230,162.774
保利罗兰香谷 2室2厅 2000元,2室2厅,89,2000,22.472
滨江德信东方星城4居室 02卧,4室1厅,10,1790,179.0
滨江德信东方星城4居室 02卧,4室1厅,10,1660,166.0
滨江德信东方星城4居室 02卧,4室1厅,9.3,1860,200.0
滨江德信东方星城5居室 03卧,5室1厅,7.3,1490,204.11
滨江德信东方星城4居室 01卧,4室1厅,16,2230,139.375
三义锦唐苑 2室1厅 2300元,2室1厅,72,2300,31.944
南肖埠北景西苑 3室1厅 6000元,3室1厅,104.43,6000,57.455
滨江德信东方星城4居室 05卧,4室1厅,8.9,1760,197.753
丁桥大唐苑 3室1厅 4200元,3室1厅,102,4200,41.176
火车东站空房两室出租。。。。。,1室2厅,67.42,3900,57.846
大面积，商住一体，品质生活，舒适办公。,2室2厅,135,5000,37.037
蓝桥名苑 2室1厅 4300元,2室1厅,93.42,4300,46.029
置鼎明珠1号 2室1厅 3000元,2室1厅,45,3000,66.667
采荷自住两室一厅  精装修  家电齐全 看房方便,2室1厅,48.51,4300,88.642
置鼎明珠1号 2室1厅 3000元,2室1厅,46.81,3000,64.089
新上采荷金谷。南北户型  小面积带大客厅,2室1厅,55.32,4400,79.537
滨江德信东方星城4居室 02卧,4室1厅,11.4,1830,160.526
置鼎明珠1号 2室1厅 3500元,2室1厅,80,3500,43.75
同方国际 1室0厅 3500元,1室0厅,43.19,3500,81.037
三义锦唐苑 3室1厅 3300元,3室1厅,101,3300,32.673
采荷精装修  大两房 带客厅  两房朝南采光好户型正气,2室2厅,64,5000,78.125
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
新城红郡 3室2厅 3200元,3室2厅,89,3200,35.955
宋都凯旋苑 精品 电梯三房 朝南出租,3室2厅,142,9200,64.789
置鼎明珠1号 2室1厅 3200元,2室1厅,45,3200,71.111
首开武林8栋4居室 01卧,4室1厅,14,2190,156.429
三里亭，精装两房，采光通风好，看房随时，拎包入住。,2室2厅,80.54,4000,49.665
滨江德信东方星城4居室 01卧,4室1厅,16,2230,139.375
滨江德信东方星城4居室 01卧,4室1厅,13.7,2560,186.861
置鼎明珠1号 1室0厅 2000元,1室0厅,41,2000,48.78
滨江德信东方星城5居室 02卧,5室1厅,12.7,2430,191.339
滨江德信东方星城4居室 03卧,4室1厅,6,1330,221.667
东方御府 4室2厅 25000元,4室2厅,245,25000,102.041
天阳明朗 3室1厅 1750元,3室1厅,15,1750,116.667
三里亭 四区，闸弄口地铁站，清爽两房，看房提前联系,2室1厅,58,4000,68.966
雍和府 3室1厅 5600元,3室1厅,89.21,5600,62.773
滨江德信东方星城5居室 03卧,5室1厅,7.3,1460,200.0
赵家花苑 2室1厅 3000元,2室1厅,78,3000,38.462
滨江德信东方星城5居室 02卧,5室1厅,17.6,2490,141.477
金色黎明一期 3室2厅 4500元,3室2厅,89,4500,50.562
滨江德信东方星城5居室 05卧,5室1厅,5.5,1330,241.818
滨江德信东方星城4居室 01卧,4室1厅,16,2460,153.75
滨江德信东方星城4居室 05卧,4室1厅,19,1790,94.211
广宇上东领地 4室2厅 7000元,4室2厅,157,7000,44.586
柏悦公馆 3室2厅 4000元,3室2厅,96,4000,41.667
雍和府4居室 02卧,4室1厅,8.1,1590,196.296
金色黎明三期 3室1厅 6500元,3室1厅,89,6500,73.034
圣奥领寓 3室2厅 5500元,3室2厅,89,5500,61.798
采荷精装大面积两室两厅  近有采荷 大地幼儿园,2室2厅,65,6000,92.308
东都公寓 2室1厅 3800元,2室1厅,70,3800,54.286
滨江德信东方星城5居室 02卧,5室1厅,13.3,1790,134.586
世茂天宸自住标准精装修3居室，拎包入住，随时看房。,3室1厅,89,8500,95.506
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
广大融城印象 5室2厅 5500元,5室2厅,120.15,5500,45.776
向江来时代中心 2室1厅 5400元,2室1厅,50.34,5400,107.271
景芳地铁边干净清爽两居室价格实惠楼层适中看房方便,2室1厅,47.51,4200,88.402
地理位置优越，靠地铁，近火车东站,1室0厅,30,5400,180.0
双菱新村 地铁口 二房 朝南 出租,2室1厅,55,4700,85.455
景芳五区 2室1厅 4500元,2室1厅,54.77,4500,82.162
广宇上东臻品 3室2厅 4000元,3室2厅,85,4000,47.059
双菱新村 2室1厅 4000元,2室1厅,47.2,4000,84.746
新城市广场 1室1厅 4200元,1室1厅,40.02,4200,104.948
金雅苑社区 3室1厅 5000元,3室1厅,85.77,5000,58.295
夕照新村 1室1厅 5000元,1室1厅,46,5000,108.696
金色黎明二期 3室2厅 5500元,3室2厅,89,5500,61.798
单身公寓，价格实惠，9月底入住,1室0厅,30.54,2600,85.134
东茂苑 2室1厅 4300元,2室1厅,65.25,4300,65.9
绿地华家池优质房源，精装三居带地暖品质居住看房随时,3室1厅,89,13000,146.067
丁桥东兰轩 1室1厅 3200元,1室1厅,64.42,3200,49.674
精装修 家具几点齐全 拎包入住 交通便利,2室1厅,56,4600,82.143
丽江公寓 2室2厅 4800元,2室2厅,89.82,4800,53.44
万家花园万和苑 3室2厅 6500元,3室2厅,89,6500,73.034
杭九中这边的房子 户型方正 地铁2号线 居家的的选择,2室1厅,65,4500,69.231
杭州明石商业大厦 2室1厅 4300元,2室1厅,63,4300,68.254
建塘家苑 2室1厅 2800元,2室1厅,65,2800,43.077
城市之星 4室2厅 40000元,4室2厅,290.06,40000,137.903
长睦邻里人家东苑 2室1厅 4000元,2室1厅,89,4000,44.944
滨江德信东方星城4居室 02卧,4室1厅,10,1690,169.0
滨江德信东方星城5居室 01卧,5室1厅,14.3,2560,179.021
臻选精装 拎包入住 给您一个温暖舒心的家,4室1厅,187.64,9900,52.761
江岸邻里 4室1厅 6000元,4室1厅,120,6000,50.0
联合格里 3室1厅 3500元,3室1厅,88.48,3500,39.557
丽江公寓 2室2厅 5000元,2室2厅,91.15,5000,54.855
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
采荷街道商教苑社区 2室1厅 4200元,2室1厅,53,4200,79.245
三义锦唐苑 3室1厅 3700元,3室1厅,103,3700,35.922
滨江德信东方星城5居室 01卧,5室1厅,17.6,2530,143.75
滨江德信东方星城5居室 05卧,5室1厅,5.5,1360,247.273
滨江德信东方星城5居室 03卧,5室1厅,7.3,1460,200.0
金色黎明一期 3室2厅 5200元,3室2厅,89,5200,58.427
首开武林8栋 3室1厅 5700元,3室1厅,89,5700,64.045
滨江德信东方星城4居室 01卧,4室1厅,16,2590,161.875
滨江德信东方星城4居室 05卧,4室1厅,17,1930,113.529
毛胚大仓库，品质小区，配套成熟，交通便利。,3室1厅,89.08,4000,44.903
滨江德信东方星城5居室 06卧,5室1厅,15.1,1960,129.801
滨江德信东方星城5居室 02卧,5室1厅,13.3,1790,134.586
滨江德信东方星城5居室 01卧,5室1厅,14.3,2490,174.126
滨江德信东方星城5居室 02卧,5室1厅,13.3,1790,134.586
滨江德信东方星城4居室 02卧,4室1厅,8.5,1660,195.294
景芳二区 3室1厅 5200元,3室1厅,74,5200,70.27
置鼎明珠1号 2室1厅 2500元,2室1厅,45,2500,55.556
中旅城仕公馆 2室1厅 3200元,2室1厅,70,3200,45.714
保利罗兰香谷 3室2厅 3500元,3室2厅,95,3500,36.842
天阳观筑 2室1厅 3000元,2室1厅,74,3000,40.541
远洋心里 3室2厅 5800元,3室2厅,89,5800,65.169
建塘家苑 3室2厅 4200元,3室2厅,102,4200,41.176
金地格林格林 3室2厅 4000元,3室2厅,89,4000,44.944
杭州来福士中心 1室1厅 68000元,1室1厅,368.32,68000,184.622
红街天城公寓 2室2厅 7000元,2室2厅,83.5,7000,83.832
泊林印象 5室2厅 6800元,5室2厅,137,6800,49.635
大家多立方 3室1厅 4800元,3室1厅,89,4800,53.933
置鼎明珠1号 2室1厅 3500元,2室1厅,45,3500,77.778
新中宇维萨 2室2厅 5100元,2室2厅,89.39,5100,57.053
世茂天宸自住标准精装修3居室，拎包入住，随时看房。,3室2厅,89.56,8500,94.908
