标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
翰林花园 电梯房4房 适合一家人居住 房东诚心出租,4室2厅,128.89,9000,69.827
房子干净整洁，装修新颖，环境舒适温馨，进来看看,2室1厅,53.65,4600,85.741
景江单身公寓，情侣上班族不二选择,1室0厅,39,3400,87.179
风里雨里 我在这里等着你 市三医院边可合租,2室1厅,53.05,5000,94.251
林风花园精装四房，边套，全明户型。,4室2厅,145.97,13000,89.059
绿城蓝色钱江 1室1厅 6800元,1室1厅,53.74,6800,126.535
春江花月 精装修 家电齐全 交通便利 拎包入住,4室2厅,203.32,22000,108.204
马市街 2室2厅 6500元,2室2厅,69.88,6500,93.017
金都华府 4室2厅 11000元,4室2厅,179,11000,61.453
绿城蓝色钱江 4室2厅 24000元,4室2厅,178,24000,134.831
金色海岸 5室2厅 45000元,5室2厅,333.61,45000,134.888
皮市巷 1室1厅 3500元,1室1厅,35.31,3500,99.122
业主自住     干净清爽大两房,2室1厅,61.9,4800,77.544
日信国际DOUBLE时代 2室1厅 7000元,2室1厅,47.83,7000,146.352
康都紫轩 2室1厅 7500元,2室1厅,89.11,7500,84.166
金色海岸 5室2厅 40000元,5室2厅,378,40000,105.82
美政花苑小三房 干净清爽，家电齐全 拎包入住,3室1厅,65.92,5100,77.367
太和广场  家具家电齐全  拎包入住,3室2厅,158.63,12000,75.648
滨江金色家园 3室2厅 13500元,3室2厅,131,13500,103.053
叶家弄1居室,1室1厅,30.11,4760,158.087
木材新村 2室1厅 5600元,2室1厅,59.7,5600,93.802
后市街一居室 价格实在 随时入住,1室1厅,31,3300,106.452
复兴北苑 1室1厅 3700元,1室1厅,34,3700,108.824
金都华府 三室精装 家电齐全 拎包入住,3室2厅,132,10000,75.758
保安桥直街 1室1厅 3800元,1室1厅,44.46,3800,85.47
复兴南苑 2室1厅 4000元,2室1厅,48,4000,83.333
凤凰北苑 2室1厅 5800元,2室1厅,75.54,5800,76.781
金狮苑 清爽装修 大两房 价格实惠,2室1厅,88.18,7000,79.383
凤山路79号 2室1厅 3300元,2室1厅,59,3300,55.932
华龙家园 3室1厅 7500元,3室1厅,104.41,7500,71.832
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
大名空间商务大厦 4室1厅 13730元,4室1厅,176.87,13730,77.628
云雀苑 中间楼层 家电齐全 拎包入住,2室1厅,56.9,5000,87.873
严衙弄 2室1厅 4200元,2室1厅,57.75,4200,72.727
丰家兜12号 2室1厅 6500元,2室1厅,75,6500,86.667
皮市巷 2室1厅 4600元,2室1厅,63.74,4600,72.168
大王庙巷小区 2室1厅 4800元,2室1厅,52,4800,92.308
近江家园九园 3室1厅 6500元,3室1厅,82,6500,79.268
在水一方公寓 3室2厅 6500元,3室2厅,112.18,6500,57.943
信余里 1室1厅 3500元,1室1厅,45,3500,77.778
定安路地铁站400米，单身小青年或者小情侣住很合适,1室1厅,30.42,3100,101.907
紫花苑 2室1厅 4100元,2室1厅,60,4100,68.333
正气的二居室，采光通风好，情侣，一家人的好房子,2室1厅,71.18,5500,77.269
信余里 2室2厅 4700元,2室2厅,70,4700,67.143
十三湾巷 2室2厅 6500元,2室2厅,60,6500,108.333
复兴南苑 标注一室一厅 采光充足,1室1厅,37.37,3000,80.278
生活不止您眼前看到的，还有。。。,2室1厅,57.85,4800,82.973
翰林花园 精装修电梯房  房东诚心出租 适合一家人住,3室2厅,127.38,9500,74.58
金色家园正4房出租 还有一个车位,4室2厅,154.07,11000,71.396
钱江苑精致三房，需要您来感受飞一样的居住体验,3室2厅,106.72,8500,79.648
景江城市花园 1室1厅 3300元,1室1厅,52,3300,63.462
清爽一房 精装修电梯房 房东诚心出租,1室2厅,76.51,6000,78.421
祠堂巷小区 2室2厅 可长期稳定出租,2室2厅,75,7000,93.333
吴山边 大两房 采光好 拎包入住,2室1厅,84.7,6500,76.741
孝子坊 一室一厅 简单装修 西湖边,1室1厅,30,3500,116.667
定安东苑 中楼层一居室 随时入住,1室1厅,37.37,4200,112.39
金都华府 两房精装 家电齐全 拎包入住,2室1厅,104.96,6800,64.787
精装四房 阳光充足 拎包入住 看房方便,4室2厅,159.19,10000,62.818
羊血弄 2室1厅 4500元,2室1厅,67.02,4500,67.144
梅花碑 2室1厅 4900元,2室1厅,80,4900,61.25
定安名都 定安路地铁站 西湖银泰 河坊街,3室2厅,151.39,25000,165.136
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
绿城蓝色钱江 1室1厅 13000元,1室1厅,105,13000,123.81
楼层好，价格低，房子南北通透，地铁口,2室1厅,51.15,4500,87.977
金色海岸 3室2厅 28000元,3室2厅,205,28000,136.585
民安苑 2室1厅 4000元,2室1厅,47,4000,85.106
陆家河头小区 2室1厅 4000元,2室1厅,55.77,4000,71.723
近江家园四园 2室1厅 6000元,2室1厅,69,6000,86.957
绿城蓝色钱江 4室2厅 28000元,4室2厅,174.69,28000,160.284
万科金色城品 1室1厅 7500元,1室1厅,48,7500,156.25
景江城市花园 1室0厅 4000元,1室0厅,39,4000,102.564
新绿园精装修一居室   拎包入住,1室1厅,69,7500,108.696
紫花苑电梯房 采光良好 拎包入住,2室1厅,67.94,4700,69.179
直箭道巷 1室1厅 3800元,1室1厅,41.5,3800,91.566
近江家园二园 2室1厅 5500元,2室1厅,65.42,5500,84.072
世纪坊 3室1厅 5800元,3室1厅,99.92,5800,58.046
直箭道巷 2室1厅 3800元,2室1厅,58.77,3800,64.659
凤凰城广场 1室1厅 3900元,1室1厅,39,3900,100.0
大王庙巷小区 2室1厅 4500元,2室1厅,50.41,4500,89.268
南星公寓 2室1厅 4500元,2室1厅,54,4500,83.333
山南人家 3室1厅 6500元,3室1厅,120,6500,54.167
滨江家园 2室2厅 6000元,2室2厅,92.94,6000,64.558
春江花月 1室1厅 6500元,1室1厅,69.56,6500,93.445
春江花月 1室1厅 7200元,1室1厅,67,7200,107.463
世纪坊 2室2厅 6000元,2室2厅,78.5,6000,76.433
赞成林风和风苑 4室2厅 9500元,4室2厅,145,9500,65.517
春江花月 2室1厅 8500元,2室1厅,114.01,8500,74.555
世纪坊 3室2厅 6300元,3室2厅,91.76,6300,68.657
后市街 1室1厅 3600元,1室1厅,42.58,3600,84.547
华藏寺巷 1室1厅 3000元,1室1厅,30,3000,100.0
上城区 地铁口 大面积三房  银泰边,2室1厅,69.55,4700,67.577
日信国际DOUBLE时代 2室1厅 7000元,2室1厅,47.83,7000,146.352
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
绿城蓝色钱江 4室2厅 28000元,4室2厅,174.69,28000,160.284
万科金色城品 1室1厅 7500元,1室1厅,48,7500,156.25
金色海岸 3室2厅 28000元,3室2厅,205,28000,136.585
民安苑 2室1厅 4000元,2室1厅,47,4000,85.106
陆家河头小区 2室1厅 4000元,2室1厅,55.77,4000,71.723
金都华府 三室精装 家电齐全 拎包入住,3室2厅,135,13000,96.296
枝头巷，交通方便，生活便利户型正气,1室1厅,44.88,4000,89.127
