标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
镜瑞弄 3室0厅 4800元,3室0厅,49.68,4800,96.618
和平小区 2室2厅 5400元,2室2厅,89.1,5400,60.606
三塘南村 2室1厅 4000元,2室1厅,65,4000,61.538
西子铭苑 2室2厅 9800元,2室2厅,107,9800,91.589
朝晖九区 简装的一居室 低廉的价格,1室1厅,38,2600,68.421
中江花园  公交总公司  清爽自住3房看房方便 随时签约,3室2厅,107.23,6800,63.415
灯芯巷 3室1厅 7000元,3室1厅,79.73,7000,87.796
德胜东村 2室1厅 3100元,2室1厅,48.93,3100,63.356
锦园小区 2室1厅 3900元,2室1厅,47.48,3900,82.14
锦园小区 2室1厅 4300元,2室1厅,50.34,4300,85.419
三塘北村 1室1厅 3200元,1室1厅,40.83,3200,78.374
房东诚心出租，只为等待最合适的你,2室1厅,54,3800,70.37
树园小区 地铁口 清爽装修大两房 看房随时联系,2室2厅,72.88,5000,68.606
京都苑精装三室，楼层好，拎包入住。,3室1厅,93,5800,62.366
三塘精装修大三房，拎包入住，适合一家人，同事合租,3室2厅,89,5500,61.798
房东自住精装修 两房朝南 中间楼层采光好,2室1厅,63.65,4100,64.415
三塘北村 2室1厅 3500元,2室1厅,54.48,3500,64.244
云裳公寓 高品质住宅 市中.心地段 电梯房,3室2厅,140,8500,60.714
河西南38号 3室1厅 6800元,3室1厅,94.78,6800,71.745
精装修 两房朝南一房北 中间楼层采光好,3室2厅,110.61,5500,49.724
漾河人家 1室1厅 3500元,1室1厅,65,3500,53.846
朝晖七区 1室1厅 3200元,1室1厅,40.31,3200,79.385
景湖苑 3室2厅 13000元,3室2厅,160,13000,81.25
凤起路地铁150米 这么便宜的房子很难找 整套,1室0厅,26.05,2200,84.453
遥祥寺巷 2室1厅 4100元,2室1厅,45,4100,91.111
三塘北村 2室1厅 3600元,2室1厅,65,3600,55.385
领骏世界 1室1厅 4400元,1室1厅,47.02,4400,93.577
体育场路，两房等大，房东诚租，价格可谈，随时入住,2室1厅,47.95,4000,83.42
武林路，十四中西湖边好房子，采光通风好房东自住装修,2室1厅,56,4500,80.357
戒坛寺巷 安吉路实验 凤起路 精装1室 杭州大厦,1室1厅,39.56,4000,101.112
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
朝晖四区 2室1厅 4600元,2室1厅,57,4600,80.702
流水东苑 2室1厅 4500元,2室1厅,59.8,4500,75.251
新天地G193广场 1室0厅 3000元,1室0厅,35,3000,85.714
京都苑 两房朝南，沿河景观好，楼层适中，清爽装修,2室1厅,72,4600,63.889
三里亭，三里家园一区，大成 旁，业主自住精装修。,2室2厅,92.93,5200,55.956
朝晖九区两室楼层好 干净清爽 适宜一家人居住,2室1厅,59,4500,76.271
阳光银泰城精装公寓出租，全新装修，拎包入住,1室1厅,52.19,4000,76.643
长隆双阳台，精装修，诚心出租。,2室1厅,80,4350,54.375
笑傲江湖令狐冲重出江湖欲称霸武林故惜别朝晖八区抛租,2室1厅,42.14,3700,87.803
东新园精装大三房，适合拆迁户和高质量合租客,3室2厅,110,5000,45.455
地铁一号线 精装修 采光好 拎包入住,4室3厅,192.39,15000,77.967
昌化路中装两房，地铁口，拎包入住,2室1厅,73.88,5000,67.677
北景园水镜苑 3室2厅 4200元,3室2厅,106,4200,39.623
杭州新天地 2室2厅 5000元,2室2厅,56,5000,89.286
水印康庭 物美西联广场，城北体育公园，人力资源精装,3室1厅,71.05,5000,70.373
东新园大面积三房，皆朝南，精装修，采光足，风景好,3室1厅,104,5200,50.0
联锦大厦 3室2厅 11000元,3室2厅,170,11000,64.706
打铁关新村 2室1厅 4500元,2室1厅,80,4500,56.25
户型正气，交通便利，视野开阔！,2室1厅,62,3600,58.065
带着诚意出租，你是否带着诚意来？！,2室1厅,63.55,3600,56.648
三塘北村 2室1厅 4000元,2室1厅,53.23,4000,75.146
