标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
凯丽晶座 3室1厅 4500元,3室1厅,100,4500,45.0
丰瑞南苑 3室2厅 3900元,3室2厅,120,3900,32.5
城品华庭 2室2厅 5000元,2室2厅,90,5000,55.556
绿都御景蓝湾 3室2厅 2500元,3室2厅,90,2500,27.778
阳光城上府 3室2厅 8000元,3室2厅,89,8000,89.888
新城香悦奥府 4室2厅 6000元,4室2厅,117,6000,51.282
龙湖旭辉春江悦茗 4室1厅 8000元,4室1厅,89,8000,89.888
绿都御景蓝湾 4室2厅 5500元,4室2厅,112,5500,49.107
万科金辰之光 4室2厅 10000元,4室2厅,128,10000,78.125
三江新村 2室1厅 3500元,2室1厅,62,3500,56.452
摩卡商务馆 1室1厅 2400元,1室1厅,48.86,2400,49.12
阳光城上府 3室2厅 6500元,3室2厅,89,6500,73.034
凯丽晶座 3室1厅 3900元,3室1厅,76,3900,51.316
南润名座 2室2厅 3500元,2室2厅,78,3500,44.872
金帝金色钱塘 2室1厅 5300元,2室1厅,90,5300,58.889
顺发和美家 1室1厅 3000元,1室1厅,35,3000,85.714
丰润家园 2室2厅 4800元,2室2厅,78,4800,61.538
南润名座 3室1厅 4500元,3室1厅,102,4500,44.118
绿城丁香公馆 1室1厅 4800元,1室1厅,69.98,4800,68.591
丽晶国际 3室1厅 16800元,3室1厅,150,16800,112.0
隐龙湾 1室1厅 3300元,1室1厅,68,3300,48.529
威尼斯水城 2室1厅 3500元,2室1厅,75,3500,46.667
摩卡商务馆 1室1厅 3100元,1室1厅,68,3100,45.588
华瑞晴庐 3室2厅 5000元,3室2厅,89,5000,56.18
宝盛世纪中心 1室1厅 4800元,1室1厅,48,4800,100.0
三江花园 3室2厅 6500元,3室2厅,148,6500,43.919
佳丰南苑 2室1厅 4300元,2室1厅,85,4300,50.588
顺发和美家 3室2厅 3500元,3室2厅,90,3500,38.889
万科金辰之光 4室2厅 9000元,4室2厅,89,9000,101.124
宝盛世纪中心 1室1厅 4200元,1室1厅,41.96,4200,100.095
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
郡望府 2室1厅 3800元,2室1厅,80,3800,47.5
新南郡嘉苑 3室2厅 3800元,3室2厅,147,3800,25.85
龙湖旭辉春江悦茗4居室 05卧,4室1厅,16.3,2060,126.38
阳光城上府4居室 02卧,4室1厅,7.14,1830,256.303
中国铁建江南国际城4居室 01卧,4室1厅,17.3,2790,161.272
顺发康庄 3室2厅 4500元,3室2厅,125,4500,36.0
新城香悦奥府 4室2厅 7500元,4室2厅,117,7500,64.103
丽晶国际 2室2厅 7000元,2室2厅,120,7000,58.333
绿都御景蓝湾 4室2厅 4500元,4室2厅,89,4500,50.562
