标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
裕园公寓 1室1厅 2200元,1室1厅,38.01,2200,57.88
简单装修，需要什么家具家电房东配，自己有也可以,3室2厅,90,4300,47.778
保利东湾小三房，南北通透，采光好，安心物业。,3室2厅,89,5000,56.18
文泽路地铁口，两房精装办公出租,2室1厅,83.12,6000,72.185
高档品质小区，一线江景，交通便利,3室1厅,89,3000,33.708
钱塘江边 世茂三期 自住精装小三房 随时看房入住,3室1厅,89,4500,50.562
金隅观澜时代天筑 3室2厅 5000元,3室2厅,181.88,5000,27.491
龙湖滟澜星座 1室1厅 6000元,1室1厅,53.57,6000,112.003
观澜时代天筑 朝南采光大阳台 清爽装修 欢迎随时看房,2室2厅,85,2800,32.941
保利东湾 朝南采光大阳台 清爽装修 欢迎随时看房,5室2厅,115,6000,52.174
中沙东岸嘉园三区 2室1厅 4200元,2室1厅,58.5,4200,71.795
文苑风情 1室1厅 2300元,1室1厅,49.1,2300,46.843
保利湾天地 2室1厅 3500元,2室1厅,47,3500,74.468
多蓝水岸碧海苑 3室1厅 4600元,3室1厅,125,4600,36.8
朗诗国际，精品2房loft，拎包入住。,2室2厅,80.85,3500,43.29
和达御观邸 5室1厅 8000元,5室1厅,89.08,8000,89.807
华元十六街区 1室1厅 2350元,1室1厅,44.1,2350,53.288
世茂江滨商业中心 1室1厅 2400元,1室1厅,38.45,2400,62.419
"文泽路地铁口一房精装, 欢迎年轻的租户入住",1室1厅,49.1,3000,61.1
"文泽路地铁口一房精装, 欢迎年轻的租户入住",1室1厅,37.53,2200,58.62
伊萨卡国际城排屋 4室2厅 15000元,4室2厅,207.77,15000,72.195
野风海天城 2室1厅 3000元,2室1厅,100.2,3000,29.94
金隅空港 朝南采光大阳台 清爽装修 欢迎随时看房,1室1厅,55,2700,49.091
保利东湾 自住精装4房4阳台 自住配套 居家舒适,4室2厅,115,7000,60.87
一线江景 超大房间 舒适干净 随时入住,1室1厅,59,3100,52.542
观澜时代云邸 房东自住精装2房 中，央空调 拎包即入住,2室2厅,89,3800,42.697
世茂江滨花园瑞景湾 3室1厅 3600元,3室1厅,89,3600,40.449
宋都晨光国际 3室1厅 6000元,3室1厅,89,6000,67.416
中豪七格 酒店式公寓 两室跃层 随便带看 拎包入住,2室2厅,50,3800,76.0
观澜时代云邸苑 5室1厅 9500元,5室1厅,262,9500,36.26
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
和达自由港 2室2厅 4200元,2室2厅,50,4200,84.0
地铁沿线 宋都晨光3房2卫 跃层精装修 配套齐全,3室1厅,87,6000,68.966
保利湾天地二期 1室1厅 1500元,1室1厅,30,1500,50.0
保利东湾 一线江景 超大2房 舒适干净 随时入住,2室2厅,87.8,3300,37.585
精装大房 间   南北采光 户型方正,1室1厅,68,2700,39.706
保利湾天地 一线江景 超大2房 舒适干净 随时入住,2室2厅,73,3500,47.945
金隅空港公馆 1室1厅 2600元,1室1厅,54,2600,48.148
此房为房东自住装修 家具 家电,3室2厅,127.62,4800,37.612
保利湾天地精装修2室一厅两卫，,1室1厅,97,1800,18.557
保利东湾毛坯三房，视野开阔，环境优美.,3室2厅,93,3000,32.258
裕园公寓 1室1厅 2200元,1室1厅,38.01,2200,57.88
简单装修，需要什么家具家电房东配，自己有也可以,3室2厅,90,4300,47.778
文苑风情 1室1厅 2300元,1室1厅,49.1,2300,46.843
文泽路地铁口，两房精装办公出租,2室1厅,83.12,6000,72.185
保利东湾小三房，南北通透，采光好，安心物业。,3室2厅,89,5000,56.18
高档品质小区，一线江景，交通便利,3室1厅,89,3000,33.708
中沙东岸嘉园三区 2室1厅 4200元,2室1厅,58.5,4200,71.795
观澜时代天筑 朝南采光大阳台 清爽装修 欢迎随时看房,2室2厅,85,2800,32.941
保利东湾 朝南采光大阳台 清爽装修 欢迎随时看房,5室2厅,115,6000,52.174
三房简单装修 楼层好 采光好看房方便,2室2厅,89,3000,33.708
保利湾天地 朝南2房采光大阳台 清爽装修 欢迎随时看房,2室2厅,71,3200,45.07
保利湾天地二期 2室1厅 3300元,2室1厅,73,3300,45.205
空置出租，朝南双阳台干净清爽四房！没有家具家电,4室1厅,186,4500,24.194
金隅空港公馆 1室1厅 2600元,1室1厅,55.14,2600,47.153
朗诗国际，精品2房loft，拎包入住。,2室1厅,89,4800,53.933
保利鹭沙郡府 4室2厅 10000元,4室2厅,237,10000,42.194
世茂江滨商业中心 1室1厅 3000元,1室1厅,56.3,3000,53.286
保利湾天地 一线江景 超大2房 舒适干净 随时入住,3室2厅,131.9,4800,36.391
保利东湾精装大两房，视野开阔，环境优美，拎包入住。,2室1厅,75,4000,53.333
保利东湾 一线江景 超大2房 舒适干净 随时入住,2室2厅,70,3600,51.429
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
保利湾天地二期 2室1厅 3500元,2室1厅,72,3500,48.611
保利东湾 2室2厅 3000元,2室2厅,77,3000,38.961
世茂江滨商业中心 1室1厅 2500元,1室1厅,46.58,2500,53.671
世茂江滨商业中心 1室0厅 2500元,1室0厅,38.76,2500,64.499
宋都东郡排屋，简装，大面积的可以办公，,5室3厅,280,10000,35.714
伊萨卡国际城浩泽园 2室1厅 3800元,2室1厅,88,3800,43.182
宋都东郡国际4房89方，可以合租，4000包物业包网费,4室1厅,89,3700,41.573
保利东湾精装两房，视野开阔，舒适干净，拎包入住,2室1厅,88.87,3800,42.759
保利湾天地精装修2室一厅两卫，,1室1厅,97,1800,18.557
保利东湾毛坯三房，视野开阔，环境优美.,3室2厅,93,3000,32.258
保利东湾 一线江景 超大2房 舒适干净 随时入住,2室2厅,87.8,3300,37.585
此房为房东自住装修 家具 家电,3室2厅,127.62,4800,37.612
龙湖滟澜山一期房东精装修诚心出租,3室2厅,120,7000,58.333
世茂江滨花园碧景湾   下沙江滨E出口200米,3室1厅,89,3300,37.079
世茂江滨花园瑞景湾 2室1厅 3500元,2室1厅,88.38,3500,39.602
福雷德广场艾肯金座 1室1厅 2400元,1室1厅,42,2400,57.143
保利东湾精装大两房，视野开阔，环境优美，拎包入住。,2室2厅,89,4500,50.562
多蓝水岸蓝波苑 3室2厅 3800元,3室2厅,140,3800,27.143
保利东湾 5室1厅 6500元,5室1厅,136.47,6500,47.63
世茂江滨商业中心 1室1厅 2700元,1室1厅,47,2700,57.447
福雷德广场艾肯金座 1室1厅 2400元,1室1厅,42,2400,57.143
湾天地敞亮客厅，LOFT结构，只租3500，居住舒适,2室2厅,94.24,3500,37.139
保利东湾 3室1厅 5000元,3室1厅,92,5000,54.348
泰美国际大厦 1室1厅 3300元,1室1厅,54.53,3300,60.517
伊萨卡国际城浩泽园 2室1厅 3000元,2室1厅,64.84,3000,46.268
保利东湾 2室2厅 4000元,2室2厅,89,4000,44.944
世茂江滨商业中心 1室1厅 2500元,1室1厅,44.78,2500,55.828
宝龙云滨湾纯毛坯 ，大户型，可办公，配套齐全。,4室2厅,212.96,9000,42.261
龙湖滟澜山茗轩南区三期 3室1厅 5000元,3室1厅,87.56,5000,57.104
观澜云邸，业主自住精装修大两房，希望爱干净的人入住,2室2厅,88.35,4500,50.934
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
文苑风情1居室,1室1厅,47,2990,63.617
保利湾天地2居室,2室1厅,97,3990,41.134
保利鹭沙郡府，大面积毛坯，可办公，可拎包入住。,4室2厅,211,8000,37.915
世茂江滨商业中心 1室1厅 3000元,1室1厅,56.3,3000,53.286
