标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
宝石新村 1室1厅 4500元,1室1厅,50,4500,90.0
莫干山路361号 2室1厅 3900元,2室1厅,76,3900,51.316
花园北村 2室1厅 5000元,2室1厅,65,5000,76.923
古荡简单清爽两房，价格便宜，随时看房,2室1厅,63.75,3800,59.608
天河西苑三房装修清爽，采光良好，拎包入住,3室2厅,71.44,4800,67.189
圣苑小区 3室2厅 7000元,3室2厅,125,7000,56.0
融信杭州公馆5居室 03卧,5室1厅,8.9,1790,201.124
高品质的房子，旁边是西溪银泰城.地铁口（在建）,4室2厅,204,22000,107.843
金祝新村 2室1厅 4200元,2室1厅,56,4200,75.0
白荡海社区 2室1厅 4000元,2室1厅,68,4000,58.824
湖畔花园排屋诚心出租，可办公！,4室3厅,160,15000,93.75
高品质的房子，旁边是西溪银泰城.地铁口（在建）,4室2厅,210,20000,95.238
保俶路 2室1厅 4600元,2室1厅,62.5,4600,73.6
世贸丽晶城 2室2厅 8600元,2室2厅,98,8600,87.755
钱江之江新天地 1室1厅 2500元,1室1厅,37,2500,67.568
云溪香山 3室1厅 4200元,3室1厅,96,4200,43.75
友谊新村 2室1厅 4600元,2室1厅,59.2,4600,77.703
文二新村 标准三室 南北通透 拎包入住,3室1厅,60.19,4500,74.763
初次出租，精致装修带地暖，选择这套房不会后悔！,3室2厅,140,9000,64.286
高大上写字楼！带电梯，可办公可注册公司！,3室2厅,123.72,10000,80.828
万科坤和玉泉，开发商精装房东房东诚心出租,2室2厅,67.95,5000,73.584
坤和和家园 2室1厅 拎包入住朝阳南北通透交通便利,2室1厅,88.45,3900,44.093
采光明亮，阳台开了门出去迎面风吹还是很舒服的,2室1厅,87.55,2800,31.982
阿里巴巴文一西路海创园未来科技城万科星空住宅出租！,3室2厅,110,6300,57.273
超大面积，三房两卫，户型好，精装修的你还在等什么？,3室2厅,111.6,5500,49.283
西荡苑梨苑 3室2厅 5500元,3室2厅,91.45,5500,60.142
文三新村 3室1厅 5200元,3室1厅,75,5200,69.333
和家园精装修大五房，景观房，视野开阔,5室3厅,371,15000,40.431
和家园优质房源，一家人自住好选择,2室1厅,88.63,4000,45.131
西溪河东  两室一厅 拎包入住。,2室2厅,76.11,5300,69.636
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
精装两房，家具家电设施齐全，给你一份温馨的家,2室1厅,89.3,6000,67.189
中海西溪华府 2室1厅 5400元,2室1厅,86,5400,62.791
富丽花园自住精装三房，干净清爽，拎包入住,3室1厅,90.32,5500,60.895
西溪诚园致诚苑 3室2厅 10000元,3室2厅,90,10000,111.111
地铁口好房，别墅小区，看房方便,2室2厅,74,4300,58.108
中海西溪华府 3室2厅 5000元,3室2厅,89,5000,56.18
秋水苑 3室2厅 7000元,3室2厅,110,7000,63.636
实用大面积房屋，超大露台。业主诚心出租,3室2厅,121.02,8500,70.236
厚诚路128号 3室1厅 4000元,3室1厅,73,4000,54.795
西溪天堂悦居 可居住可办公 可以注册公司,2室1厅,189.8,20000,105.374
胜利新村 2室1厅 4500元,2室1厅,57.3,4500,78.534
翠苑五区好房 拎包入住 装修清爽 等您来住,2室1厅,58.61,4200,71.66
西溪板块精装4房 近阿里巴巴 西溪首座  西溪银泰城,4室2厅,137.67,8500,61.742
钱江之江新天地 3室1厅 4500元,3室1厅,76.16,4500,59.086
