标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
阿里巴巴海创园  合景叠彩园 开发商精装 拎包入住,3室2厅,85,5800,68.235
万科未来城二期 3室2厅 5000元,3室2厅,88.45,5000,56.529
西溪蓝海 1室1厅 3000元,1室1厅,38,3000,78.947
绿城桃源小镇 3室2厅 3800元,3室2厅,87,3800,43.678
西溪蓝海 2室1厅 3500元,2室1厅,46,3500,76.087
西溪蓝海 2室2厅 3400元,2室2厅,46,3400,73.913
万通时尚公馆 3室2厅 5000元,3室2厅,109,5000,45.872
闲林山水丹枫苑 1室1厅 2800元,1室1厅,56.5,2800,49.558
东厦东港花苑 3室1厅 2800元,3室1厅,88.9,2800,31.496
雅居乐国际花园 3室2厅 3000元,3室2厅,89,3000,33.708
万通时尚公馆 3室2厅 5300元,3室2厅,109,5300,48.624
大华海派风范 4室2厅 3500元,4室2厅,89,3500,39.326
富力西溪悦居 3室2厅 6200元,3室2厅,89,6200,69.663
西溪蓝海 1室1厅 3300元,1室1厅,38,3300,86.842
乐佳国际 1室1厅 5200元,1室1厅,31,5200,167.742
绿城桃源小镇 2室2厅 3000元,2室2厅,90.06,3000,33.311
西溪蓝海 1室1厅 3100元,1室1厅,38,3100,81.579
岸上蓝山 3室2厅 5400元,3室2厅,160,5400,33.75
西溪蓝海 1室1厅 3300元,1室1厅,38,3300,86.842
湖山帝景湾 1室1厅 2500元,1室1厅,57,2500,43.86
钱塘梧桐蓝山 3室1厅 3000元,3室1厅,87.89,3000,34.134
房东诚心出租  价格美丽 看房方便 钥匙在我手上,3室2厅,89,2800,31.461
西溪蓝海 3室2厅 4400元,3室2厅,89,4400,49.438
欧美金融城 2室1厅 4000元,2室1厅,54,4000,74.074
铭雅苑东区4居室 05卧,4室1厅,19.53,1830,93.702
万通时尚公馆 3室2厅 5800元,3室2厅,129,5800,44.961
南苑二区 2室1厅 2700元,2室1厅,80,2700,33.75
金成英特学府 3室2厅 1600元,3室2厅,89.4,1600,17.897
众安理想湾 6室5厅 18000元,6室5厅,196,18000,91.837
雅居乐国际花园 2室1厅 2000元,2室1厅,82,2000,24.39
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
